id,genres
71139,Comedy
73330,Comedy
53693,Documentary
121140,Horror
45090,Adventure
96984,Documentary
52102,Horror
99513,Action
124017,Comedy
129641,Horror
9150,Romance
50977,Sci-Fi
11833,Sci-Fi
83579,Documentary
38753,Documentary
103760,Horror
99890,Comedy
130572,Comedy
96308,Comedy
33221,Comedy
99675,Drama
108701,Romance
40275,Comedy
32575,Drama
21415,Romance
79627,Horror
25322,Documentary
12148,Horror
98597,Documentary
114595,Documentary
130538,Comedy
3957,Horror
96731,Drama
2915,Crime
51103,Comedy
34218,Comedy
64215,Documentary
52860,Romance
66637,Documentary
126990,Drama
29874,Documentary
7433,Romance
51148,Drama
70567,Comedy
105941,Comedy
6961,Adventure
84086,Horror
75983,Drama
88783,Documentary
5708,Romance
107550,Comedy
19786,Action
112198,Drama
119726,Drama
54728,Documentary
114199,Drama
117939,Documentary
12349,Horror
12069,Thriller
42778,Comedy
88075,Drama
8495,Sci-Fi
84304,Documentary
100678,Documentary
36055,Drama
12786,Romance
24780,Comedy
108360,Documentary
75616,Thriller
12650,Horror
74862,Comedy
117485,Sci-Fi
15959,Comedy
892,Romance
82591,Documentary
78607,Comedy
114913,Horror
5205,Romance
40972,Drama
83945,Comedy
74202,Action
40698,Horror
52556,Comedy
87384,Drama
53163,Thriller
12021,Thriller
3138,Horror
111487,Drama
34586,Documentary
83309,Horror
12233,Thriller
59448,Adventure
123794,Drama
41289,Thriller
10156,Horror
88714,Crime
79648,Horror
3105,Action
90328,Comedy
129542,Action
77557,Action
4956,Crime
89247,Comedy
9507,Thriller
107065,Romance
118156,Romance
20799,Romance
11161,Action
2984,Action
73047,Thriller
103483,Drama
3264,Romance
118077,Comedy
47429,Comedy
5159,Romance
99653,Thriller
9715,Thriller
6438,Action
126597,Thriller
113777,Action
127750,Documentary
112597,Drama
22659,Comedy
4363,Adventure
21674,Romance
129769,Comedy
8794,Crime
2151,Action
1195,Action
124231,Horror
118536,Drama
2965,Thriller
101069,Thriller
80962,Sci-Fi
7722,Action
66727,Comedy
88698,Drama
30556,Documentary
8632,Romance
74614,Drama
29841,Romance
281,Adventure
6251,Horror
5165,Crime
4088,Action
127832,Documentary
114134,Comedy
101797,Action
123965,Thriller
68626,Horror
3769,Action
25583,Comedy
102137,Comedy
22434,Drama
42451,Thriller
84460,Horror
85110,Romance
77220,Horror
80695,Romance
30024,Comedy
93933,Drama
11988,Horror
12726,Thriller
64263,Drama
104788,Horror
49415,Comedy
101412,Romance
125388,Drama
75507,Romance
30,Adventure
129025,Documentary
69206,Comedy
113966,Thriller
121145,Drama
89364,Comedy
50598,Romance
71586,Comedy
39667,Drama
68366,Thriller
103109,Documentary
5325,Horror
48442,Drama
93689,Documentary
126195,Comedy
75157,Action
60345,Comedy
34558,Comedy
6248,Thriller
83131,Documentary
54591,Horror
9374,Horror
